"Vandområde","Lokalitetsnavn","Dato","ODA_prøvenummer","ObsSted_bredde","ObsSted_længde","Artsnavn","Artsrække","Antal_stk","Biomasse_vådvægt_g","year","Depth_m"
"Stege Bugt","Stege Bugt","2009-05-05",3,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,60"
"Stege Bugt","Stege Bugt","2009-05-05",6,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,70"
"Stege Bugt","Stege Bugt","2009-05-05",9,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","3,20"
"Stege Bugt","Stege Bugt","2009-05-05",17,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,60"
"Stege Bugt","Stege Bugt","2009-05-05",20,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,50"
"Stege Bugt","Stege Bugt","2009-05-05",2,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,70"
"Stege Bugt","Stege Bugt","2009-05-05",5,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,20"
"Stege Bugt","Stege Bugt","2009-05-05",8,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","3,10"
"Stege Bugt","Stege Bugt","2009-05-05",11,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","-99,00"
"Stege Bugt","Stege Bugt","2009-05-05",14,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","3,20"
"Stege Bugt","Stege Bugt","2009-05-05",10,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","3,00"
"Stege Bugt","Stege Bugt","2009-05-05",16,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,70"
"Stege Bugt","Stege Bugt","2009-05-05",19,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,30"
"Stege Bugt","Stege Bugt","2009-05-05",13,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,80"
"Stege Bugt","Stege Bugt","2009-05-05",7,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","3,00"
"Stege Bugt","Stege Bugt","2009-05-05",15,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,80"
"Stege Bugt","Stege Bugt","2009-05-05",1,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,50"
"Stege Bugt","Stege Bugt","2009-05-05",18,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,30"
"Stege Bugt","Stege Bugt","2009-05-05",4,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,40"
"Stege Bugt","Stege Bugt","2009-05-05",12,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","3,30"
"Stege Bugt","Stege Bugt","2011-05-17",13,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,90"
"Stege Bugt","Stege Bugt","2011-05-17",36,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,20"
"Stege Bugt","Stege Bugt","2011-05-17",30,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,90"
"Stege Bugt","Stege Bugt","2011-05-17",16,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,90"
"Stege Bugt","Stege Bugt","2011-05-17",19,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,70"
"Stege Bugt","Stege Bugt","2011-05-17",42,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,80"
"Stege Bugt","Stege Bugt","2011-05-17",22,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","3,70"
"Stege Bugt","Stege Bugt","2011-05-17",2,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,70"
"Stege Bugt","Stege Bugt","2011-05-17",39,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","1,80"
"Stege Bugt","Stege Bugt","2011-05-17",10,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","3,10"
"Stege Bugt","Stege Bugt","2011-05-17",33,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,90"
"Stege Bugt","Stege Bugt","2011-05-17",14,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","3,30"
"Stege Bugt","Stege Bugt","2011-05-17",37,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,40"
"Stege Bugt","Stege Bugt","2011-05-17",8,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","3,00"
"Stege Bugt","Stege Bugt","2011-05-17",31,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,80"
"Stege Bugt","Stege Bugt","2011-05-17",28,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","3,40"
"Stege Bugt","Stege Bugt","2011-05-17",34,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,70"
"Stege Bugt","Stege Bugt","2011-05-17",5,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","4,00"
"Stege Bugt","Stege Bugt","2011-05-17",11,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","3,30"
"Stege Bugt","Stege Bugt","2011-05-17",17,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,90"
"Stege Bugt","Stege Bugt","2011-05-17",3,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,80"
"Stege Bugt","Stege Bugt","2011-05-17",6,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,80"
"Stege Bugt","Stege Bugt","2011-05-17",9,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","3,50"
"Stege Bugt","Stege Bugt","2011-05-17",12,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","3,60"
"Stege Bugt","Stege Bugt","2011-05-17",20,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,90"
"Stege Bugt","Stege Bugt","2011-05-17",23,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,90"
"Stege Bugt","Stege Bugt","2011-05-17",26,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,80"
"Stege Bugt","Stege Bugt","2011-05-17",29,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,90"
"Stege Bugt","Stege Bugt","2011-05-17",32,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,30"
"Stege Bugt","Stege Bugt","2011-05-17",40,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","3,70"
"Stege Bugt","Stege Bugt","2011-05-17",1,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,90"
"Stege Bugt","Stege Bugt","2011-05-17",4,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,80"
"Stege Bugt","Stege Bugt","2011-05-17",7,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","3,10"
"Stege Bugt","Stege Bugt","2011-05-17",15,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,90"
"Stege Bugt","Stege Bugt","2011-05-17",18,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,60"
"Stege Bugt","Stege Bugt","2011-05-17",21,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,90"
"Stege Bugt","Stege Bugt","2011-05-17",24,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","3,30"
"Stege Bugt","Stege Bugt","2011-05-17",27,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","3,20"
"Stege Bugt","Stege Bugt","2011-05-17",35,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,70"
"Stege Bugt","Stege Bugt","2011-05-17",38,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,10"
"Stege Bugt","Stege Bugt","2011-05-17",41,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","4,00"
"Stege Bugt","Stege Bugt","2011-05-17",25,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","3,90"
"Stege Bugt","Stege Bugt","2013-05-03",3,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","1,40"
"Stege Bugt","Stege Bugt","2013-05-03",6,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,50"
"Stege Bugt","Stege Bugt","2013-05-03",14,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,50"
"Stege Bugt","Stege Bugt","2013-05-03",17,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,60"
"Stege Bugt","Stege Bugt","2013-05-03",20,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,60"
"Stege Bugt","Stege Bugt","2013-05-03",23,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,50"
"Stege Bugt","Stege Bugt","2013-05-03",26,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,20"
"Stege Bugt","Stege Bugt","2013-05-03",37,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","1,80"
"Stege Bugt","Stege Bugt","2013-05-03",40,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,20"
"Stege Bugt","Stege Bugt","2013-05-03",34,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","1,90"
"Stege Bugt","Stege Bugt","2013-05-03",1,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,20"
"Stege Bugt","Stege Bugt","2013-05-03",9,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,10"
"Stege Bugt","Stege Bugt","2013-05-03",12,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,40"
"Stege Bugt","Stege Bugt","2013-05-03",15,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,20"
"Stege Bugt","Stege Bugt","2013-05-03",18,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,20"
"Stege Bugt","Stege Bugt","2013-05-03",21,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,80"
"Stege Bugt","Stege Bugt","2013-05-03",29,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,30"
"Stege Bugt","Stege Bugt","2013-05-03",32,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,40"
"Stege Bugt","Stege Bugt","2013-05-03",35,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,40"
"Stege Bugt","Stege Bugt","2013-05-03",38,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","1,60"
"Stege Bugt","Stege Bugt","2013-05-03",41,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","4,70"
"Stege Bugt","Stege Bugt","2013-05-03",2,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,30"
"Stege Bugt","Stege Bugt","2013-05-03",11,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","3,00"
"Stege Bugt","Stege Bugt","2013-05-03",5,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","1,70"
"Stege Bugt","Stege Bugt","2013-05-03",28,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,40"
"Stege Bugt","Stege Bugt","2013-05-03",31,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,20"
"Stege Bugt","Stege Bugt","2013-05-03",8,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","3,00"
"Stege Bugt","Stege Bugt","2013-05-03",22,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","3,40"
"Stege Bugt","Stege Bugt","2013-05-03",25,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","3,40"
"Stege Bugt","Stege Bugt","2013-05-03",42,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","1,50"
"Stege Bugt","Stege Bugt","2013-05-03",19,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,40"
"Stege Bugt","Stege Bugt","2013-05-03",10,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,60"
"Stege Bugt","Stege Bugt","2013-05-03",27,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,70"
"Stege Bugt","Stege Bugt","2013-05-03",4,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,70"
"Stege Bugt","Stege Bugt","2013-05-03",16,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,30"
"Stege Bugt","Stege Bugt","2013-05-03",13,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,00"
"Stege Bugt","Stege Bugt","2013-05-03",33,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,60"
"Stege Bugt","Stege Bugt","2013-05-03",39,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","1,40"
"Stege Bugt","Stege Bugt","2013-05-03",24,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","3,20"
"Stege Bugt","Stege Bugt","2013-05-03",36,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","1,90"
"Stege Bugt","Stege Bugt","2013-05-03",7,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","2,90"
"Stege Bugt","Stege Bugt","2013-05-03",30,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2013","1,40"
"Stege Bugt","Stege Bugt","2015-03-19",1,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,70"
"Stege Bugt","Stege Bugt","2015-03-19",2,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,60"
"Stege Bugt","Stege Bugt","2015-03-19",6,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,80"
"Stege Bugt","Stege Bugt","2015-03-19",9,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","3,50"
"Stege Bugt","Stege Bugt","2015-03-19",17,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,90"
"Stege Bugt","Stege Bugt","2015-03-19",20,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,50"
"Stege Bugt","Stege Bugt","2015-03-19",23,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","3,00"
"Stege Bugt","Stege Bugt","2015-03-19",26,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,20"
"Stege Bugt","Stege Bugt","2015-03-19",29,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,70"
"Stege Bugt","Stege Bugt","2015-03-19",37,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,30"
"Stege Bugt","Stege Bugt","2015-03-19",40,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","4,00"
"Stege Bugt","Stege Bugt","2015-03-19",5,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,00"
"Stege Bugt","Stege Bugt","2015-03-19",8,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","3,10"
"Stege Bugt","Stege Bugt","2015-03-19",11,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","3,00"
"Stege Bugt","Stege Bugt","2015-03-19",14,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,80"
"Stege Bugt","Stege Bugt","2015-03-19",22,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","3,50"
"Stege Bugt","Stege Bugt","2015-03-19",25,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","3,80"
"Stege Bugt","Stege Bugt","2015-03-19",28,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,40"
"Stege Bugt","Stege Bugt","2015-03-19",31,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,40"
"Stege Bugt","Stege Bugt","2015-03-19",34,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,70"
"Stege Bugt","Stege Bugt","2015-03-19",42,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,50"
"Stege Bugt","Stege Bugt","2015-03-19",24,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","3,40"
"Stege Bugt","Stege Bugt","2015-03-19",18,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,40"
"Stege Bugt","Stege Bugt","2015-03-19",41,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","3,50"
"Stege Bugt","Stege Bugt","2015-03-19",12,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","3,50"
"Stege Bugt","Stege Bugt","2015-03-19",35,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,80"
"Stege Bugt","Stege Bugt","2015-03-19",38,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,10"
"Stege Bugt","Stege Bugt","2015-03-19",15,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,60"
"Stege Bugt","Stege Bugt","2015-03-19",32,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,10"
"Stege Bugt","Stege Bugt","2015-03-19",21,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","3,00"
"Stege Bugt","Stege Bugt","2015-03-19",4,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","3,10"
"Stege Bugt","Stege Bugt","2015-03-19",7,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,50"
"Stege Bugt","Stege Bugt","2015-03-19",19,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,40"
"Stege Bugt","Stege Bugt","2015-03-19",30,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,00"
"Stege Bugt","Stege Bugt","2015-03-19",36,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,00"
"Stege Bugt","Stege Bugt","2015-03-19",13,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,30"
"Stege Bugt","Stege Bugt","2015-03-19",3,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,20"
"Stege Bugt","Stege Bugt","2015-03-19",27,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,40"
"Stege Bugt","Stege Bugt","2015-03-19",33,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,70"
"Stege Bugt","Stege Bugt","2015-03-19",10,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","1,00"
"Stege Bugt","Stege Bugt","2015-03-19",16,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","2,30"
"Stege Bugt","Stege Bugt","2015-03-19",39,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2015","1,90"
