"","summary(speciesnames_absent$Artsnavn, maxsum = 500)"
"Ablabesmyia monilis",0
"Abra alba",0
"Abra nitida",0
"Acanthocardia echinata",0
"Acentropus niveus",4
"Actinia sp.",0
"Akera bullata",0
"Alcyonidium sp.",0
"Alkmaria romijni",0
"Ampharete acutifrons",0
"Ampharete baltica",0
"Ampharete sp.",0
"AMPHARETIDAE",0
"Ampharetidae indet.",0
"AMPHIPODA",0
"Ampithoe rubricata",4
"Angulus tenuis",0
"Antinoella sarsi",0
"Apherusa bispinosa",0
"Arctica islandica",0
"Arenicola marina",6
"Aricidea jeffreysi",0
"Aricidea sp.",0
"Asterias rubens",0
"Balanus crenatus",0
"Balanus improvisus",0
"Balanus sp.",1
"Bathyporeia guilliamsoniana",0
"Bathyporeia sp.",0
"Bittium reticulatum",0
"Bivalvia indet.",0
"BIVALVIA, muslinger",0
"Brachystomia scalaris",0
"Bryozoa indet.",0
"Campanulariidae indet.",3
"Capitella capitata",0
"Capitella sp.",0
"Carcinus maenas",0
"Cerastoderma edule",2
"Cerastoderma glaucum",68
"Cerastoderma sp.",0
"CHIRONOMIDAE",2
"Chironomidae indet.",144
"Chironomini indet.",0
"Chironomus sp.",42
"Ciona intestinalis",0
"Coleoptera indet.",0
"Copepoda indet.",0
"Corbula gibba",0
"Corophium crassicorne",0
"Corophium insidiosum",35
"Corophium sp.",0
"Corophium volutator",12
"Crangon crangon",1
"CRUSTACEA",0
"Cyathura carinata",36
"Dexamine spinosa",0
"Diastylis bradyi",0
"Diastylis rathkei",0
"Echinodermata indet.",0
"Edwardsia sp.",0
"Electra crustulenta",59
"Electra sp.",0
"Ensis americanus",0
"Ensis sp.",0
"Ericthonius brasiliensis",0
"Eteone longa",1
"Eteone sp.",0
"EUALUS",0
"Eulalia bilineata",0
"Eulalia viridis",0
"Exogone naidina",0
"Exogone sp.",0
"Fabricia sp.",0
"Fabricia stellaris",3
"Fabriciinae indet.",1
"Gammarus inaequicauda",2
"Gammarus locusta",35
"Gammarus salinus",41
"Gammarus sp.",4
"Gammarus zaddachi",0
"GASTROPODA, PROSOBRANCHIA, NUDIBRANCHIA",0
"Gastrosaccus spinifer",0
"Gattyana cirrosa",0
"Halicryptus spinulosus",0
"Haminoea sp.",0
"Harmothoe elisabethae",0
"Harmothoe imbricata",0
"Harmothoe impar",0
"Harmothoe sp.",0
"Hediste diversicolor",147
"HESIONIDAE",0
"Hesionidae indet.",0
"Heteromastus filiformis",48
"Heterotanais oerstedii",1
"Hinia reticulata",0
"Hydrobia sp.",134
"Hydrobia ulvae",24
"Hydrobia ventrosa",37
"Hydrozoa indet.",0
"Idotea balthica",76
"Idotea chelipes",15
"Idotea sp.",0
"Idotea viridis",6
"Insecta indet.",4
"Jaera albifrons",63
"Kefersteinia cirrata",0
"Lanassa venusta",0
"Lanice conchilega",0
"Lepidochitona cinereus",0
"Lepidonotus squamatus",0
"Lepidoptera indet.",0
"Leucon nasica",0
"Limapontia sp.",0
"Lineus ruber",0
"Littorina littorea",0
"Littorina saxatilis",18
"Littorina sp.",0
"Lymnaea sp.",15
"Macoma balthica",59
"Macoma calcarea",0
"Macoma sp.",0
"Macroplea mutica",25
"Malacoceros fuliginosus",0
"Maldanidae indet.",0
"Manayunkia aestuarina",7
"Marenzelleria sp.",0
"Marenzelleria viridis",7
"Mediomastus fragilis",0
"Mediomastus sp.",0
"Melita palmata",11
"Metopa sp.",0
"Microdeutopus gryllotalpa",124
"Microdeutopus sp.",0
"Microphthalmus sp.",0
"Modiolarca tumida",0
"Modiolus modiolus",0
"Molgula citrina",0
"Musculus discors",0
"Musculus niger",0
"Musculus sp.",0
"Mya arenaria",59
"Mysella bidentata",0
"Mysidacea indet.",0
"Mysidae indet.",0
"Mytilus edulis",149
"Neanthes sp.",0
"Neanthes succinea",0
"Neanthes virens",3
"Nematoda indet.",3
"Nemertini indet.",29
"NEMERTINI Slimbændler",0
"Neoamphitrite figulus",0
"Neomysis integer",0
"Nephtys caeca",0
"Nephtys ciliata",0
"Nephtys hombergii",0
"Nephtys sp.",0
"Nereididae indet.",2
"Nereimyra punctata",0
"NEREIS",0
"Nudibranchia indet.",0
"Odostomia sp.",0
"Oligochaeta indet.",21
"OLIGOCHAETA, Børsteorme",0
"Onoba aculeus",0
"Onoba sp.",0
"Ophelia borealis",0
"Ophelia rathkei",0
"Ophiodromus flexuosus",0
"Ophisthobranchia indet.",0
"Ophiura albida",0
"Ophiura sp.",0
"Palaemon adspersus",0
"Palaemon sp.",0
"Parvicardium exiguum",43
"Parvicardium hauniense",8
"Parvicardium ovale",0
"Parvicardium sp.",0
"Pectinaria hyperborea",0
"Pectinaria koreni",0
"Pectinaria sp.",0
"Phaxas pellucidus",0
"Philine aperta",0
"Philine sp.",0
"Pholoe assimilis",0
"Pholoe baltica",0
"Pholoe inornata",0
"Pholoe sp.",0
"Phoronis muelleri",0
"Phthisica marina",0
"Phyllodoce groenlandica",0
"Phyllodoce maculata",0
"Phyllodoce mucosa",0
"Phyllodoce sp.",0
"Platynereis dumerilii",21
"Podocoryne carnea",0
"Polychaeta indet.",0
"POLYCHAETA, Havbørsteorme",0
"Polydora caeca",0
"Polydora ciliata",0
"Polydora cornuta",75
"Polydora quadrilobata",0
"Polydora sp.",0
"Pontoporeia femorata",0
"Porifera indet.",0
"Potamopyrgus antipodarum",21
"Praunus flexuosus",1
"Priapulus caudatus",0
"Prionospio sp.",0
"Procerodes littoralis",0
"Procladius sp.",2
"Prosobranchia indet.",0
"Pseudopolydora antennata",0
"Pusillina sarsi",28
"Pygospio elegans",66
"Radix peregra",1
"Retusa obtusa",0
"Retusa sp.",0
"Retusa truncatula",0
"Rhithropanopeus harrisii",1
"Rissoa membranacea",24
"Rissoa sp.",12
"Scalibregma inflatum",0
"Scoloplos armiger",16
"Scrobicularia plana",0
"SEMELIDAE",0
"Sphaeroma hookeri",16
"Sphaeroma rugicauda",0
"Spio filicornis",0
"Spionidae indet.",1
"Spiophanes bombyx",0
"Spirorbis sp.",11
"Spirorbis spirorbis",0
"Streblospio shrubsolii",0
"Streptosyllis websteri",0
"SYLLIDAE",0
"Syllidia armata",0
"Syllidia sp.",0
"Synelmis klatti",0
"Tanaidacea indet.",8
"Tanypodinae indet.",0
"Tanytarsini indet.",0
"Terebellides stroemi",0
"Theodoxus fluviatilis",111
"Trichoptera indet.",1
"Trochochaeta multisetosa",0
"Tubifex costatus",12
"Tubificidae indet.",0
"Tubificoides benedii",31
"Tubificoides sp.",0
"Turbellaria indet.",0
"Turritella communis",0
